component,variable,loading,explained_variance_ratio
PC1,care_arts_office_score,0.42950054196989407,0.41567699565541727
PC1,home_domestic_score,0.5040545569704511,0.41567699565541727
PC1,mechanical_technical_score,0.5381239413626567,0.41567699565541727
PC1,peer_social_score,0.2806341035491597,0.41567699565541727
PC1,sports_outdoors_score,0.4394603641995135,0.41567699565541727
PC2,care_arts_office_score,-0.5225832835703282,0.2541683729267735
PC2,home_domestic_score,-0.3097265417949536,0.2541683729267735
PC2,mechanical_technical_score,0.4035164313029965,0.2541683729267735
PC2,peer_social_score,-0.3439146898356224,0.2541683729267735
PC2,sports_outdoors_score,0.5915009356073372,0.2541683729267735
PC3,care_arts_office_score,-0.26612886706661354,0.17370297771437535
PC3,home_domestic_score,-0.3770305630436896,0.17370297771437535
PC3,mechanical_technical_score,0.08951966854985978,0.17370297771437535
PC3,peer_social_score,0.88240115603548,0.17370297771437535
PC3,sports_outdoors_score,0.01943732015405322,0.17370297771437535
PC4,care_arts_office_score,-0.6708262925567138,0.08922818237270916
PC4,home_domestic_score,0.7126199706147894,0.08922818237270916
PC4,mechanical_technical_score,-0.16229124631452208,0.08922818237270916
PC4,peer_social_score,0.11949881940867971,0.08922818237270916
PC4,sports_outdoors_score,-0.0393248804855449,0.08922818237270916
PC5,care_arts_office_score,-0.1469813168701267,0.06722347133072458
PC5,home_domestic_score,0.004382341497003228,0.06722347133072458
PC5,mechanical_technical_score,0.716411120595721,0.06722347133072458
PC5,peer_social_score,-0.10027670730337944,0.06722347133072458
PC5,sports_outdoors_score,-0.6745939340323944,0.06722347133072458
