outcome,sex,model,estimator,term,n_used,coef,p_value,note
eng_any_ge_4,female,M1_CGN_only,school_fe_ols,cgn01,183843,0.17914621583405604,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,183843,0.1934140046582726,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,183843,0.08184189651625899,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,183843,0.19533199109796134,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,183843,0.07192917190557739,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,183843,0.03243409665547201,3.128699458593178e-44,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M1_CGN_only,school_fe_ols,cgn01,182398,-0.17130966218135096,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,182398,-0.14408910659668953,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,182398,0.0641539828571166,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,182398,-0.1473177947996186,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,182398,0.06787524702287288,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,182398,-0.012606806737504864,7.442493884503213e-08,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M1_CGN_only,school_fe_ols,cgn01,183843,0.137138358660378,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,183843,0.1554937442345683,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,183843,0.10528888429643547,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,183843,0.15466197039792126,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,183843,0.10958773897571567,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,183843,-0.01406570581264374,2.113434165085769e-09,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M1_CGN_only,school_fe_ols,cgn01,182398,-0.0913672018136137,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,182398,-0.06996802288965523,1.4791850935349336e-203,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,182398,0.0504340388488468,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,182398,-0.07126576750364144,1.5074927091662968e-228,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,182398,0.05192977031153475,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,182398,-0.005067202069348511,0.006612165622160993,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,M1_CGN_only,school_fe_ols,cgn01,183843,0.08371372520259796,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,183843,0.09094967963035556,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
