outcome,sex,contrast,difference
divorced_among_ever_married,female,among_CGN_highPC2_minus_lowPC2,-0.010662740302629495
divorced_among_ever_married,female,among_nonCGN_highPC2_minus_lowPC2,-0.00686186861804107
divorced_among_ever_married,female,highPC2_CGN_minus_nonCGN,0.011553132319905485
divorced_among_ever_married,female,lowPC2_CGN_minus_nonCGN,0.01535400400449391
divorced_among_ever_married,male,among_CGN_highPC2_minus_lowPC2,-0.0030109464631415533
divorced_among_ever_married,male,among_nonCGN_highPC2_minus_lowPC2,-0.0032939964085675413
divorced_among_ever_married,male,highPC2_CGN_minus_nonCGN,0.003482076997634101
divorced_among_ever_married,male,lowPC2_CGN_minus_nonCGN,0.003199027052208113
earnings_o221_among_earners,female,among_CGN_highPC2_minus_lowPC2,-8.165069603858683
earnings_o221_among_earners,female,among_nonCGN_highPC2_minus_lowPC2,60.73168568460005
earnings_o221_among_earners,female,highPC2_CGN_minus_nonCGN,144.79035748495153
earnings_o221_among_earners,female,lowPC2_CGN_minus_nonCGN,213.68711277341026
earnings_o221_among_earners,male,among_CGN_highPC2_minus_lowPC2,968.3458367242929
earnings_o221_among_earners,male,among_nonCGN_highPC2_minus_lowPC2,679.1405256263079
earnings_o221_among_earners,male,highPC2_CGN_minus_nonCGN,-145.66420890493828
earnings_o221_among_earners,male,lowPC2_CGN_minus_nonCGN,-434.8695200029233
eng_any_ge_4,female,among_CGN_highPC2_minus_lowPC2,0.28700500525843825
eng_any_ge_4,female,among_nonCGN_highPC2_minus_lowPC2,0.15908917321063878
eng_any_ge_4,female,highPC2_CGN_minus_nonCGN,0.2551118393030716
eng_any_ge_4,female,lowPC2_CGN_minus_nonCGN,0.1271960072552721
eng_any_ge_4,male,among_CGN_highPC2_minus_lowPC2,0.21009982220393641
eng_any_ge_4,male,among_nonCGN_highPC2_minus_lowPC2,0.17921038959570135
eng_any_ge_4,male,highPC2_CGN_minus_nonCGN,-0.1052026087625384
eng_any_ge_4,male,lowPC2_CGN_minus_nonCGN,-0.13609204137077346
eng_any_ge_5,female,among_CGN_highPC2_minus_lowPC2,0.1694424210813452
eng_any_ge_5,female,among_nonCGN_highPC2_minus_lowPC2,0.06822984493465106
