outcome,sex,model,estimator,term,n_used,coef,p_value,note
eng_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,183843,0.19533199109796134,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,183843,0.07192917190557739,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,183843,0.03243409665547201,3.128699458593178e-44,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,183843,0.15178900385602534,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,183843,0.1252072020654904,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,183843,0.09931529941145276,8.790994575642909e-55,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,182398,-0.1473177947996186,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,182398,0.06787524702287288,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,182398,-0.012606806737504864,7.442493884503213e-08,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,182398,-0.1768812326903611,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,182398,0.1028751596659841,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,182398,0.06557580434429107,9.802825962785398e-28,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,183843,0.15466197039792126,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,183843,0.10958773897571567,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,183843,-0.01406570581264374,2.113434165085769e-09,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,183843,0.13404916767103014,4.56296363699381e-309,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,183843,0.17336322949836488,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,183843,0.004029168973815408,0.49031454252981055,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,182398,-0.07126576750364144,1.5074927091662968e-228,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,182398,0.05192977031153475,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,182398,-0.005067202069348511,0.006612165622160993,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,182398,-0.09395372921649062,3.742589179747568e-251,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,182398,0.07449516352639234,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_4,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,182398,0.03999574660880191,4.2238659074171815e-20,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,183843,0.0926656181120322,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,183843,0.032637897166529865,2.2608144085215665e-244,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,183843,0.029017366034441258,4.635035165398423e-53,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,183843,0.061068351481814505,2.429188976228137e-166,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,183843,0.05485043259009419,9.162319046731375e-154,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,183843,0.08441174268993615,7.980307506738487e-59,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,182398,-0.1514572984957983,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,182398,0.10030073910108098,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,182398,-0.045868668295775045,2.0130870616273516e-72,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,182398,-0.16351792743362112,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,182398,0.18015034672033944,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
eng_any_ge_5,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,182398,-0.00289902673668287,0.6846212838370338,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,183843,0.12852068298638464,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,183843,0.08422786852180636,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,183843,0.008943368556466599,0.00043964507210552404,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,183843,0.09489759040152365,8.771236647315629e-194,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,183843,0.14179233394274315,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,183843,0.062411215965637395,1.2863645919636369e-20,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,182398,-0.08780490567370125,3.2102117196923424e-162,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_any_ge_5,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,182398,0.09829164871924562,0.0,"For binary outcomes, coefficient is percentage-point change in an LPM."
