outcome,sex,cgn,pc2_group,n,outcome_mean,mean_pc1,mean_pc2,prop_pc2_high,prop_pc2_low
eng_any_ge_4,female,non_CGN,low_PC2_social_domestic,34101,0.1442772939209994,-1.3008971894384973,-1.2365029456983514,0.0,1.0
eng_any_ge_4,male,non_CGN,middle_PC2,75857,0.8526174248915723,1.5324247477863526,0.06315963247238085,0.0,0.0
eng_any_ge_4,female,non_CGN,middle_PC2,76561,0.19375400007836888,-1.569323593498614,0.05344165589862811,0.0,0.0
eng_any_ge_4,female,CGN,low_PC2_social_domestic,11817,0.2714733011762715,-0.1383549817500084,-1.6569122390858841,0.0,1.0
eng_any_ge_4,male,non_CGN,high_PC2_technical_physical,38530,0.9297171035556709,1.5734414492814979,1.3359140961490856,1.0,0.0
eng_any_ge_4,male,CGN,middle_PC2,15371,0.6848611020753367,0.1468839987575133,0.011411626394234218,0.0,0.0
eng_any_ge_4,male,non_CGN,low_PC2_social_domestic,31576,0.7505067139599696,1.3252072984911687,-1.4566773451209887,0.0,1.0
eng_any_ge_4,male,CGN,low_PC2_social_domestic,13958,0.6144146725891961,0.14908718152440564,-1.8511533132702165,0.0,1.0
eng_any_ge_4,female,non_CGN,high_PC2_technical_physical,36418,0.3033664671316382,-1.522033048695841,1.3435315654761144,1.0,0.0
eng_any_ge_4,female,CGN,middle_PC2,15404,0.39184627369514413,-0.11867537862828786,0.05661724974491722,0.0,0.0
eng_any_ge_4,female,CGN,high_PC2_technical_physical,9542,0.5584783064347097,-0.10109131915721088,1.4309186030818932,1.0,0.0
eng_any_ge_4,male,CGN,high_PC2_technical_physical,7106,0.8245144947931325,0.17625807474287772,1.4014798547614022,1.0,0.0
stem_any_ge_4,female,non_CGN,low_PC2_social_domestic,34101,0.43256795988387436,-1.3008971894384973,-1.2365029456983514,0.0,1.0
stem_any_ge_4,male,non_CGN,middle_PC2,75857,0.9115177241388401,1.5324247477863526,0.06315963247238085,0.0,0.0
stem_any_ge_4,female,non_CGN,middle_PC2,76561,0.5502148613523857,-1.569323593498614,0.05344165589862811,0.0,0.0
stem_any_ge_4,female,CGN,low_PC2_social_domestic,11817,0.5773038842345773,-0.1383549817500084,-1.6569122390858841,0.0,1.0
stem_any_ge_4,male,non_CGN,high_PC2_technical_physical,38530,0.964417337139891,1.5734414492814979,1.3359140961490856,1.0,0.0
