outcome,sex,cgn,model,term,n_used,coef,p_value,note
eng_any_ge_4,female,non_CGN,within_group_y_on_pc2_z,pc2_z,147080,0.07173626618140731,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_4,female,CGN,within_group_y_on_pc2_z,pc2_z,36763,0.10631125611398592,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_4,male,non_CGN,within_group_y_on_pc2_z,pc2_z,145963,0.06780937940329702,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_4,male,CGN,within_group_y_on_pc2_z,pc2_z,36435,0.056194238826164145,1.8124770674671932e-127,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_4,female,non_CGN,within_group_y_on_pc2_z,pc2_z,147080,0.1100910613794531,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_4,female,CGN,within_group_y_on_pc2_z,pc2_z,36763,0.09382496865753925,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_4,male,non_CGN,within_group_y_on_pc2_z,pc2_z,145963,0.051874394217585815,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_4,male,CGN,within_group_y_on_pc2_z,pc2_z,36435,0.04740319960196637,3.512766163029069e-131,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_5,female,non_CGN,within_group_y_on_pc2_z,pc2_z,147080,0.03216984322600508,4.838801669936586e-239,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_5,female,CGN,within_group_y_on_pc2_z,pc2_z,36763,0.0644182069918537,2.884932909147024e-287,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_5,male,non_CGN,within_group_y_on_pc2_z,pc2_z,145963,0.10040153961214865,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
eng_any_ge_5,male,CGN,within_group_y_on_pc2_z,pc2_z,36435,0.05522345646436002,9.452587762114987e-141,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_5,female,non_CGN,within_group_y_on_pc2_z,pc2_z,147080,0.08407464989602226,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_5,female,CGN,within_group_y_on_pc2_z,pc2_z,36763,0.09474806998219797,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_5,male,non_CGN,within_group_y_on_pc2_z,pc2_z,145963,0.09833777283539083,0.0,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
stem_any_ge_5,male,CGN,within_group_y_on_pc2_z,pc2_z,36435,0.06404395878668515,9.210422615835187e-170,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_stem,female,non_CGN,within_group_y_on_pc2_z,pc2_z,79593,0.004220813205590977,4.461764724846195e-08,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_stem,female,CGN,within_group_y_on_pc2_z,pc2_z,18982,0.0033844453491829116,0.03127558421434334,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_stem,male,non_CGN,within_group_y_on_pc2_z,pc2_z,71468,0.005038647891619527,0.0031215726518553596,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_stem,male,CGN,within_group_y_on_pc2_z,pc2_z,18953,0.006690823174631041,0.004405043513288782,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_engineering,female,non_CGN,within_group_y_on_pc2_z,pc2_z,79593,9.187209790884103e-05,0.3163272428162637,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
major_intent_y1_engineering,female,CGN,within_group_y_on_pc2_z,pc2_z,18982,-0.0003277777048524478,0.29576833350594,"Within sex and CGN group; school FE. For binary y, coef is pp per 1 SD PC2."
